,multiqc 3_shell_commands.txt,startPE_shell_commands.txt,RNA_SeqC_shell_commands.txt,merge_trimmed_PE_shell_commands.txt,merge_trimmed_SE_shell_commands.txt,sort_bams_shell_commands.txt,sort_index_bams_shell_commands.txt,cutadapt 2_shell_commands.txt,fastqc 3_shell_commands.txt,starSE_shell_commands.txt,hisat2_shell_commands.txt,generate_genome_star_index_shell_commands.txt,rsem_norm_shell_commands.txt,tximeta_shell_commands.txt,fastp_trimming_PE_shell_commands.txt,pass2_shell_commands.txt,cutadapt_shell_commands.txt,run_star_se_shell_commands.txt,salmon_quant_pe_shell_commands.txt,fetch_unique_stringtie_shell_commands.txt,bigwig_shell_commands.txt,run_star_pe_shell_commands.txt,edgeR_shell_commands.txt,salmon_quant_se_shell_commands.txt,fastp_trimming_SE_shell_commands.txt,fastqc 5_shell_commands.txt,trim_galore_pe_shell_commands.txt,samtools_flagstat_shell_commands.txt,bamindex_shell_commands.txt,expressbam_shell_commands.txt,map_shell_commands.txt,pass1_shell_commands.txt,fastqScreen_shell_commands.txt,featureCounts 2_shell_commands.txt,run_multiqc_shell_commands.txt,picard_rna_seq_shell_commands.txt,trimgaloreSE_shell_commands.txt,kallistoQuant_shell_commands.txt,fastqc_trimmed_shell_commands.txt,salmonSE_shell_commands.txt,MultiQC_shell_commands.txt,salmon_index_shell_commands.txt,salmonPE_shell_commands.txt,featureCounts_shell_commands.txt,sortbam_shell_commands.txt,trimgalorePE_shell_commands.txt,fastqc 4_shell_commands.txt,mark_dups_shell_commands.txt,fastqc 2_shell_commands.txt,salmon_quant_shell_commands.txt,starindex_shell_commands.txt,fastqctrimmed_shell_commands.txt,sampleReads_shell_commands.txt,star_genome_shell_commands.txt,fastqcrim_shell_commands.txt,fastqc_shell_commands.txt,compare_reference_stringtie_shell_commands.txt,DRIMSeq_shell_commands.txt,multiqc 2_shell_commands.txt,salmon_index_extended_shell_commands.txt,samtools_bam_shell_commands.txt,samlon_quant_shell_commands.txt
multiqc 3_shell_commands.txt,1.0,0.18042813455657492,0.2705882352941177,0.3764705882352941,0.2705882352941177,0.21176470588235297,0.12941176470588234,0.09411764705882353,0.3647058823529412,0.18649517684887462,0.07058823529411762,0.20673076923076927,0.23611111111111116,0.21962616822429903,0.23318385650224216,0.10223642172523961,0.20879120879120883,0.27419354838709675,0.29333333333333333,0.1839080459770115,0.1428571428571429,0.26538461538461533,0.20895522388059706,0.3350515463917526,0.2857142857142857,0.17647058823529416,0.3411764705882353,0.21176470588235297,0.16666666666666663,0.19999999999999996,0.1452784503631961,0.10843373493975905,0.2466666666666667,0.3065693430656934,0.3294117647058824,0.1823899371069182,0.22905027932960897,0.08235294117647063,0.2588235294117647,0.28,0.33333333333333337,0.3805970149253731,0.26027397260273977,0.216374269005848,0.21176470588235297,0.21463414634146338,0.2941176470588235,0.20108695652173914,0.2823529411764706,0.26530612244897955,0.17322834645669294,0.2589285714285714,0.2588235294117647,0.1768707482993197,0.2941176470588235,0.2589285714285714,0.3411764705882353,0.22177419354838712,0.2588235294117647,0.36363636363636365,0.18823529411764706,0.31666666666666665
startPE_shell_commands.txt,0.18042813455657492,1.0,0.15290519877675846,0.15290519877675846,0.09174311926605505,0.08562691131498468,0.05504587155963303,0.033639143730886834,0.16819571865443428,0.9510703363914373,0.02752293577981646,0.23241590214067276,0.21406727828746175,0.23853211009174313,0.21100917431192656,0.23162939297124596,0.13149847094801226,0.33944954128440363,0.290519877675841,0.15596330275229353,0.3185011709601874,0.3669724770642202,0.22935779816513757,0.27828746177370034,0.19266055045871555,0.08256880733944949,0.18960244648318048,0.08868501529051986,0.1834862385321101,0.13761467889908252,0.2566585956416465,0.23924268502581758,0.21406727828746175,0.2232415902140673,0.11314984709480125,0.1651376146788991,0.27522935779816515,0.030581039755351647,0.15902140672782872,0.43425076452599387,0.24770642201834858,0.22018348623853212,0.4678899082568807,0.18960244648318048,0.10397553516819569,0.2844036697247706,0.14678899082568808,0.1865443425076453,0.14678899082568808,0.25382262996941896,0.19571865443425074,0.24770642201834858,0.1651376146788991,0.22935779816513757,0.14678899082568808,0.24770642201834858,0.11620795107033643,0.24159021406727832,0.09785932721712542,0.21406727828746175,0.08256880733944949,0.2048929663608563
RNA_SeqC_shell_commands.txt,0.2705882352941177,0.15290519877675846,1.0,0.22535211267605637,0.2272727272727273,0.19696969696969702,0.1515151515151515,0.09090909090909094,0.1594202898550725,0.14790996784565913,0.045454545454545414,0.19711538461538458,0.17129629629629628,0.18224299065420557,0.18834080717488788,0.08945686900958472,0.13186813186813184,0.19758064516129037,0.19999999999999996,0.33333333333333337,0.11007025761124123,0.20769230769230773,0.16417910447761197,0.20618556701030932,0.23809523809523814,0.12121212121212122,0.23170731707317072,0.19696969696969702,0.1444444444444445,0.21739130434782605,0.1138014527845036,0.09466437177280551,0.23333333333333328,0.2773722627737226,0.21212121212121215,0.18867924528301883,0.17877094972067042,0.06060606060606055,0.2948717948717948,0.19999999999999996,0.2192982456140351,0.28358208955223885,0.2009132420091324,0.17543859649122806,0.12121212121212122,0.1707317073170732,0.40909090909090906,0.1684782608695652,0.2857142857142857,0.17551020408163265,0.16535433070866146,0.2321428571428571,0.28915662650602414,0.16666666666666663,0.40909090909090906,0.2321428571428571,0.24242424242424243,0.1733870967741935,0.28787878787878785,0.26573426573426573,0.18181818181818177,0.2583333333333333
merge_trimmed_PE_shell_commands.txt,0.3764705882352941,0.15290519877675846,0.22535211267605637,1.0,0.49295774647887325,0.2816901408450704,0.16901408450704225,0.09859154929577463,0.2816901408450704,0.1511254019292605,0.05633802816901412,0.17307692307692313,0.16666666666666663,0.2289719626168224,0.22421524663677128,0.08626198083067094,0.2417582417582418,0.21370967741935487,0.22666666666666668,0.29885057471264365,0.11007025761124123,0.21153846153846156,0.18656716417910446,0.25773195876288657,0.30612244897959184,0.21126760563380287,0.24390243902439024,0.3098591549295775,0.24444444444444446,0.18309859154929575,0.12832929782082325,0.09122203098106707,0.2866666666666666,0.2773722627737226,0.23943661971830987,0.19496855345911945,0.22905027932960897,0.07042253521126762,0.28205128205128205,0.21499999999999997,0.3157894736842105,0.27611940298507465,0.20547945205479456,0.21052631578947367,0.21126760563380287,0.20975609756097557,0.22535211267605637,0.18478260869565222,0.2816901408450704,0.21224489795918366,0.17322834645669294,0.3125,0.32530120481927716,0.1428571428571429,0.22535211267605637,0.3125,0.323943661971831,0.18951612903225812,0.18309859154929575,0.26573426573426573,0.295774647887324,0.22499999999999998
merge_trimmed_SE_shell_commands.txt,0.2705882352941177,0.09174311926605505,0.2272727272727273,0.49295774647887325,1.0,0.22857142857142854,0.2571428571428571,0.17142857142857137,0.30434782608695654,0.090032154340836,0.05714285714285716,0.11057692307692313,0.10185185185185186,0.13084112149532712,0.12556053811659196,0.04792332268370603,0.2417582417582418,0.12096774193548387,0.12444444444444447,0.2068965517241379,0.07025761124121777,0.11538461538461542,0.11567164179104472,0.1391752577319587,0.1768707482993197,0.12195121951219512,0.2804878048780488,0.2777777777777778,0.21111111111111114,0.2028985507246377,0.07506053268765134,0.04991394148020656,0.19333333333333336,0.21897810218978098,0.22807017543859653,0.15094339622641506,0.13407821229050276,0.11428571428571432,0.23076923076923073,0.14500000000000002,0.1842105263157895,0.17910447761194026,0.14155251141552516,0.13450292397660824,0.3125,0.12195121951219512,0.296875,0.15760869565217395,0.22857142857142854,0.11428571428571432,0.1417322834645669,0.1696428571428571,0.28915662650602414,0.08843537414965985,0.296875,0.1696428571428571,0.24561403508771928,0.12096774193548387,0.1777777777777778,0.1678321678321678,0.2222222222222222,0.15833333333333333
sort_bams_shell_commands.txt,0.21176470588235297,0.08562691131498468,0.19696969696969702,0.2816901408450704,0.22857142857142854,1.0,0.5151515151515151,0.09090909090909094,0.3188405797101449,0.08681672025723475,0.06060606060606055,0.11538461538461542,0.12037037037037035,0.13084112149532712,0.12107623318385652,0.04472843450479236,0.23076923076923073,0.11290322580645162,0.12888888888888894,0.27586206896551724,0.07025761124121777,0.11153846153846159,0.10447761194029848,0.14432989690721654,0.17006802721088432,0.2682926829268293,0.25609756097560976,0.7777777777777778,0.2777777777777778,0.3188405797101449,0.07263922518159804,0.04647160068846812,0.17333333333333334,0.1897810218978102,0.19298245614035092,0.1383647798742138,0.13407821229050276,0.1515151515151515,0.2692307692307693,0.14,0.21052631578947367,0.18656716417910446,0.13242009132420096,0.1578947368421053,0.27083333333333337,0.12195121951219512,0.28125,0.13043478260869568,0.2857142857142857,0.11836734693877549,0.1889763779527559,0.1875,0.28915662650602414,0.09863945578231292,0.28125,0.1875,0.22807017543859653,0.11290322580645162,0.2222222222222222,0.1678321678321678,0.7222222222222222,0.19999999999999996
sort_index_bams_shell_commands.txt,0.12941176470588234,0.05504587155963303,0.1515151515151515,0.16901408450704225,0.2571428571428571,0.5151515151515151,1.0,0.09090909090909094,0.18840579710144922,0.05787781350482313,0.09090909090909094,0.09134615384615385,0.08333333333333337,0.09345794392523366,0.06726457399103136,0.03194888178913735,0.15384615384615385,0.08064516129032262,0.07999999999999996,0.1724137931034483,0.04683840749414525,0.07692307692307687,0.07089552238805974,0.09278350515463918,0.09523809523809523,0.29268292682926833,0.1707317073170732,0.4722222222222222,0.24444444444444446,0.17391304347826086,0.05084745762711862,0.03270223752151458,0.09999999999999998,0.12408759124087587,0.1578947368421053,0.10062893081761004,0.0949720670391061,0.13636363636363635,0.15384615384615385,0.09999999999999998,0.13157894736842102,0.13432835820895528,0.091324200913242,0.09941520467836262,0.25,0.08780487804878045,0.21875,0.07608695652173914,0.17142857142857137,0.07755102040816331,0.12598425196850394,0.1517857142857143,0.1686746987951807,0.0714285714285714,0.21875,0.1517857142857143,0.26315789473684215,0.08064516129032262,0.15555555555555556,0.12587412587412583,0.5,0.15000000000000002
cutadapt 2_shell_commands.txt,0.09411764705882353,0.033639143730886834,0.09090909090909094,0.09859154929577463,0.17142857142857137,0.09090909090909094,0.09090909090909094,1.0,0.10144927536231885,0.03536977491961413,0.46153846153846156,0.043269230769230727,0.04629629629629628,0.03738317757009346,0.0358744394618834,0.015974440894568676,0.09890109890109888,0.040322580645161255,0.040000000000000036,0.09195402298850575,0.025761124121779888,0.038461538461538436,0.03358208955223885,0.046391752577319534,0.05442176870748294,0.09756097560975607,0.07317073170731703,0.13888888888888884,0.06666666666666665,0.05797101449275366,0.02421307506053272,0.01721170395869187,0.06000000000000005,0.06569343065693434,0.10526315789473684,0.04402515723270439,0.05027932960893855,0.3846153846153846,0.11538461538461542,0.04500000000000004,0.07894736842105265,0.05970149253731338,0.045662100456621,0.04678362573099415,0.08333333333333337,0.04390243902439028,0.09375,0.05434782608695654,0.09999999999999998,0.04081632653061229,0.055118110236220486,0.0714285714285714,0.09638554216867468,0.030612244897959218,0.09375,0.0714285714285714,0.08771929824561409,0.03629032258064513,0.11111111111111116,0.05594405594405594,0.08333333333333337,0.06666666666666665
fastqc 3_shell_commands.txt,0.3647058823529412,0.16819571865443428,0.1594202898550725,0.2816901408450704,0.30434782608695654,0.3188405797101449,0.18840579710144922,0.10144927536231885,1.0,0.16398713826366562,0.08695652173913049,0.22115384615384615,0.18518518518518523,0.22429906542056077,0.20627802690582964,0.08785942492012777,0.20879120879120883,0.22177419354838712,0.2533333333333333,0.31034482758620685,0.11709601873536302,0.21923076923076923,0.18656716417910446,0.27835051546391754,0.27210884353741494,0.28985507246376807,0.46341463414634143,0.30434782608695654,0.15555555555555556,0.26086956521739135,0.13317191283292973,0.09294320137693635,0.24,0.3065693430656934,0.26086956521739135,0.20125786163522008,0.1899441340782123,0.1159420289855072,0.20512820512820518,0.25,0.3070175438596491,0.34328358208955223,0.25114155251141557,0.21052631578947367,0.23188405797101452,0.17560975609756102,0.21739130434782605,0.19021739130434778,0.19999999999999996,0.23673469387755097,0.19685039370078738,0.2678571428571429,0.27710843373493976,0.17006802721088432,0.21739130434782605,0.2678571428571429,0.26086956521739135,0.18951612903225812,0.21739130434782605,0.3146853146853147,0.2753623188405797,0.3583333333333333
starSE_shell_commands.txt,0.18649517684887462,0.9510703363914373,0.14790996784565913,0.1511254019292605,0.090032154340836,0.08681672025723475,0.05787781350482313,0.03536977491961413,0.16398713826366562,1.0,0.025723472668810254,0.23151125401929262,0.21221864951768488,0.23472668810289388,0.202572347266881,0.22683706070287535,0.135048231511254,0.35691318327974275,0.2765273311897106,0.157556270096463,0.32084309133489464,0.360128617363344,0.22829581993569137,0.2861736334405145,0.18649517684887462,0.08038585209003213,0.17041800643086813,0.0836012861736335,0.19292604501607713,0.14147909967845662,0.26876513317191286,0.23407917383820998,0.21221864951768488,0.23151125401929262,0.11897106109324762,0.17041800643086813,0.28295819935691313,0.032154340836012874,0.16398713826366562,0.4501607717041801,0.2572347266881029,0.22829581993569137,0.4565916398713826,0.19292604501607713,0.10932475884244375,0.292604501607717,0.15434083601286175,0.17684887459807075,0.1511254019292605,0.25080385852090037,0.202572347266881,0.26045016077170413,0.17041800643086813,0.21221864951768488,0.15434083601286175,0.26045016077170413,0.11897106109324762,0.2411575562700965,0.09646302250803862,0.2186495176848875,0.08681672025723475,0.21221864951768488
